,country,equipment_type,equipment_subtype,status,source,date
0,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/ncy3jWxy/55488.png,2022-03-11
1,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/KjG2nQzc/4f220.png,2022-03-11
2,RUS,"Trucks, Vehicles and Jeeps",GAZ-66,captured,https://i.postimg.cc/9XPRbTw9/f43.png,2022-03-11
3,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,destroyed,https://i.postimg.cc/W4yTJ718/n89.jpg,2022-03-11
4,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,destroyed,https://i.postimg.cc/gc8PP5ZG/d3.png,2022-03-11
5,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,abandoned,https://i.postimg.cc/1ttjTBH0/4455.png,2022-03-11
6,RUS,"Trucks, Vehicles and Jeeps",ZiL-131,abandoned,https://i.postimg.cc/8k2Hgm1B/Screenshot-8397.png,2022-03-11
7,RUS,"Trucks, Vehicles and Jeeps",9T452 transporter-loader (for BM-27 'Uragan' MRL),destroyed,https://i.postimg.cc/QNzHJ4Yk/n2.png,2022-03-11
8,RUS,"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),captured,https://i.postimg.cc/J7XmSTvF/542g.png,2022-03-11
9,RUS,"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),destroyed,https://i.postimg.cc/bJq11m9D/4320.png,2022-03-11
10,RUS,"Trucks, Vehicles and Jeeps",GAZ-3308,abandoned,https://postimg.cc/cg7mbbzG,2022-03-11
11,RUS,"Trucks, Vehicles and Jeeps",GAZ-3308,abandoned,https://postimg.cc/62xczXYh,2022-03-11
12,RUS,"Trucks, Vehicles and Jeeps",GAZ Sobol,destroyed,https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png,2022-03-11
13,RUS,"Trucks, Vehicles and Jeeps",GAZ Sobol,abandoned,https://postimg.cc/87FbS5YH,2022-03-11
14,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,damaged,https://postimg.cc/kVDPCNz0,2022-03-11
15,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/vB5YMv7C/754.png,2022-03-11
16,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Z5GKzh1D/r1.png,2022-03-11
17,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/pXL1Kn3v/5583.png,2022-03-11
18,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/dQSXZBB2/74.png,2022-03-11
19,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Jn500txp/55799.png,2022-03-11
20,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/26Mr9sCf/667.png,2022-03-11
21,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/VNwZpLhm/663.png,2022-03-11
22,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/fR5byVj2/k88.jpg,2022-03-11
23,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/CxbjQs0Z/q1.png,2022-03-11
24,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/cJZQyt1F/q3.jpg,2022-03-11
25,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/R0RwMCN4/q4.jpg,2022-03-11
26,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/nzhBM8D7/q5.jpg,2022-03-11
27,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Zn9NFrj5/q6.jpg,2022-03-11
28,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/269vZHQt/q7.png,2022-03-11
29,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/RhjHPNbQ/q8.png,2022-03-11
30,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/7Pc0PWYG/q9.jpg,2022-03-11
31,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Tw1hHZ5d/77h.png,2022-03-11
32,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/zvFf4vcZ/Screenshot-8471.png,2022-03-11
33,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/6QcY6f4y/Screenshot-8473.png,2022-03-11
34,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://postimg.cc/gryBVFjK,2022-03-11
35,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/0Qx3NNNy/bn8.png,2022-03-11
36,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/brjQ7Srg/66522.png,2022-03-11
37,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/WbY733HN/4g.png,2022-03-11
38,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/SR1yPs6s/f2.png,2022-03-11
39,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/SR1yPs6s/f2.png,2022-03-11
40,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/vmPKKKjX/r1.png,2022-03-11
41,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/RZ337kgr/p2.png,2022-03-11
42,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/jSm1s8cQ/f57.png,2022-03-11
43,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/jSm1s8cQ/f57.png,2022-03-11
44,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/FzLk3HcB/g43.jpg,2022-03-11
45,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/3JZg39j4/u1.jpg,2022-03-11
46,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/BQ3TWRFf/u2.jpg,2022-03-11
47,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/MT3RB1JY/4f70.png,2022-03-11
48,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/mkzkbSC0/u1.jpg,2022-03-11
49,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/7Lw5g0r2/u2.jpg,2022-03-11
50,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/rmH8hcT2/y2.jpg,2022-03-11
51,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/g2cq6M8R/df.png,2022-03-11
52,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/3xzdgFbn/ug2.png,2022-03-11
53,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/HWfM0HcQ/33e.png,2022-03-11
54,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/xTvXKmS2/d335.png,2022-03-11
55,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/t4VDp20j/vv31.png,2022-03-11
56,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/sfcQf9Xq/2d3.png,2022-03-11
57,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/pdQ2SCvY/cc2.png,2022-03-11
58,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/yd0nfG2V/ff1k.png,2022-03-11
59,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/yd0nfG2V/ff1k.png,2022-03-11
60,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/Bvk4bF7L/Screenshot-8948.png,2022-03-11
61,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,captured,https://i.postimg.cc/RhZ0MvwT/tr2.png,2022-03-11
62,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/5jvTwsWN,2022-03-11
63,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/vxWKbZt6,2022-03-11
64,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/HVgK3bT0,2022-03-11
65,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/f3bh0QRp,2022-03-11
66,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/YvjdC8vQ,2022-03-11
67,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/KR09bC8Z,2022-03-11
68,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/QdHyx61H/57.png,2022-03-11
69,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/cHbtsDMx/a1.png,2022-03-11
70,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/hPY0MfcX/5579.png,2022-03-11
71,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/XNdxpWCR/b788.png,2022-03-11
72,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/43C4BpW2/bn8.png,2022-03-11
73,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/43C4BpW2/bn8.png,2022-03-11
74,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://postimg.cc/kDPjqNFh,2022-03-11
75,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/wBfFwpNT/6680.png,2022-03-11
76,RUS,"Trucks, Vehicles and Jeeps",Ural-4320,destroyed,https://i.postimg.cc/d1y6JQnH/b65.png,2022-03-11
